"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
22001,"2020-07-11","Acadia","Louisiana",0.0305613164346668,-57.7219320575596,6.99004334115943,0.0306606858039968,-56.9887608929981,7.23557725101473,"2020-07-18",7.31121838441963,0.103153408413189,0.00572158106277756
22003,"2020-07-11","Allen","Louisiana",0.0345811883317318,-0.239577421709,5.92166807666629,0.0386820616658042,17.6493251768578,6.2413767533279,"2020-07-18",6.2587616798955,0.113632097338053,0.000302235671760761
22005,"2020-07-11","Ascension","Louisiana",0.0251044048265402,-117.711193576572,7.24792268149988,0.0246723268570447,-122.723511712757,7.4442211014325,"2020-07-18",7.44600149832412,0.0392352176744887,3.1698130916748e-06
22007,"2020-07-11","Assumption","Louisiana",0.0145397844382435,-239.60590216488,5.97012130654786,0.0145082964601635,-240.49163190834,6.08610895828397,"2020-07-18",6.07698672054614,0.0114202167090247,8.32152213453915e-05
22009,"2020-07-11","Avoyelles","Louisiana",0.0299132803877898,-30.3388735276453,6.0227061767942,0.0303853612604019,-27.2496218277989,6.26696926905894,"2020-07-18",6.289715570909,0.0712940165455517,0.000517394247853729
22011,"2020-07-11","Beauregard","Louisiana",0.0413777254854328,35.5801621553932,5.60336487561596,0.0445610373470585,45.0755716352184,5.9678114540465,"2020-07-18",5.985733872399,0.146206049700866,0.000321213079602083
22013,"2020-07-11","Bienville","Louisiana",0.0122613659065211,-277.068528671569,5.49393218123864,0.012279659663059,-276.404738109929,5.59221519293446,"2020-07-18",5.61625148217034,0.0149620113804189,0.000577743200230895
22015,"2020-07-11","Bossier","Louisiana",0.0321798546176675,-46.4178043374535,6.99647333487173,0.0320163623582907,-47.5152868377516,7.25219550308962,"2020-07-18",7.23829156531118,0.058476056572864,0.000193319485746725
22017,"2020-07-11","Caddo","Louisiana",0.0211255020916523,-220.067251256086,8.26149203438717,0.0211061385062749,-220.423737836628,8.43029273347393,"2020-07-18",8.43197760362895,0.0290653293196956,2.83878743929826e-06
22019,"2020-07-11","Calcasieu","Louisiana",0.068750275421268,57.2581122739096,7.81978610810366,0.0609354390084662,42.9915841422277,8.28773252913938,"2020-07-18",8.19749940603384,0.142667335433294,0.00814201650537978
22021,"2020-07-11","Caldwell","Louisiana",0.0154204907665146,-136.247362853938,4.73790512192511,0.0174900054897091,-100.187959976563,4.88299895265077,"2020-07-18",4.85870437100731,0.0145924585788236,0.000590226697230651
22023,"2020-07-11","Cameron","Louisiana",0.0761521614433187,114.151714035932,4.32911985051168,0.0619551052262274,101.6977658372,4.78926805177877,"2020-07-18",4.72485617179056,0.156607235979346,0.00414889028361478
22025,"2020-07-11","Catahoula","Louisiana",0.0105360762841655,-333.005669526141,5.31024218177931,0.0097649134633533,-372.610989964103,5.38643358243411,"2020-07-18",5.38515015616332,0.00561120462631543,1.64718299254746e-06
22027,"2020-07-11","Claiborne","Louisiana",0.0176665805311544,-105.915767640356,4.89215470936479,0.0188567956966422,-88.5950195371831,5.04598461285165,"2020-07-18",5.04802282616788,0.0242948698357402,4.15431352245457e-06
22029,"2020-07-11","Concordia","Louisiana",0.0207847936426724,-61.6003455182002,4.8345501828101,0.0240741169845686,-30.1610018456348,5.03536642704139,"2020-07-18",5.07695793702733,0.0587615193046389,0.00172985370291018
22031,"2020-07-11","De Soto","Louisiana",0.0176980073440041,-165.701039159911,5.95893746378592,0.0183629241527946,-153.599704611903,6.10750314903026,"2020-07-18",6.12217947722293,0.0266479549509681,0.000215394609219092
22033,"2020-07-11","East Baton Rouge","Louisiana",0.0250894487281569,-177.057625880081,8.73257395896231,0.0234733176981189,-200.849166941011,8.91632017297217,"2020-07-18",8.93862538257025,0.0424571891708574,0.000497522375214222
22035,"2020-07-11","East Carroll","Louisiana",0.00278446771031453,-2021.58228275692,6.10517456854437,0.00353907322658923,-1554.61026328938,6.13537366814777,"2020-07-18",6.14907861024846,0.0019275648779545,0.000187825437983279
22037,"2020-07-11","East Feliciana","Louisiana",0.0148350211921808,-219.125947573863,5.78752669987788,0.017152262329971,-166.758348798071,5.93053790136213,"2020-07-18",5.9223441164653,0.0181757358153044,6.71381109355136e-05
22039,"2020-07-11","Evangeline","Louisiana",0.0435440657215306,43.9009246157273,5.53441049167854,0.0516364699993401,63.4279389655402,5.96773326236779,"2020-07-18",5.92806823054919,0.154966415372749,0.00157331474917052
22041,"2020-07-11","Franklin","Louisiana",0.0127574039406805,-317.489538477801,6.23185836315789,0.0118114681264129,-356.410602725311,6.32398526863353,"2020-07-18",6.37185601766403,0.0195993432672206,0.00229160861274124
22043,"2020-07-11","Grant","Louisiana",0.0304265562473634,18.6131712830135,4.63660641531472,0.0374241918280643,46.6392515929662,4.95349403889099,"2020-07-18",4.94571574799694,0.0955485795512473,6.05018092323959e-05
22045,"2020-07-11","Iberia","Louisiana",0.0512022497160181,35.7750029488731,6.92382406685962,0.0545011109762808,43.8086254420182,7.36808010782052,"2020-07-18",7.27566685484686,0.123793347458637,0.00854020932517325
22047,"2020-07-11","Iberville","Louisiana",0.0112498667906024,-419.718383748724,6.64550312793309,0.00964418872024116,-517.651904832397,6.71864244251912,"2020-07-18",6.767178719182,0.0148049495057701,0.00235577015229525
22049,"2020-07-11","Jackson","Louisiana",0.00595751883919555,-735.998973754906,5.40346347327588,0.00386919471829193,-1224.18505942671,5.42919622071996,"2020-07-18",5.51630479071288,0.0127331629209173,0.00758790296621178
22051,"2020-07-11","Jefferson","Louisiana",0.0117929955984705,-612.508231955898,9.23990913082135,0.00573748189022426,-1436.80818537628,9.27067020167253,"2020-07-18",9.36018792908564,0.014466989311902,0.00801342352120787
22053,"2020-07-11","Jefferson Davis","Louisiana",0.0487339754291228,43.3459862892401,6.22108756760907,0.054356632468163,56.2919335306756,6.66999726995198,"2020-07-18",6.50876913697168,0.0827606853509334,0.0259945108643116
22055,"2020-07-11","Lafayette","Louisiana",0.044086183960108,-11.0069574780333,8.02399220939614,0.0451120673021219,-6.9248302676129,8.38745345616815,"2020-07-18",8.3696208269491,0.119459141271574,0.00031800266486407
22057,"2020-07-11","Lafourche","Louisiana",0.0236545960208778,-133.808103802085,7.21011255932811,0.0223735894999305,-151.116844194721,7.38589875902519,"2020-07-18",7.45140759125102,0.0582232924306771,0.00429140709959205
22059,"2020-07-11","LaSalle","Louisiana",0.0187068550451223,-79.5754186463991,4.68747803448902,0.0204237075090891,-58.7217664109704,4.85515982572165,"2020-07-18",4.87410621561882,0.0348300779918151,0.000358965690135359
22061,"2020-07-11","Lincoln","Louisiana",0.0182380882273564,-152.564648002941,5.90120059753117,0.0192084539042677,-136.345221075383,6.05729414295758,"2020-07-18",6.13896048008288,0.0565297617510044,0.00666939061946278
22063,"2020-07-11","Livingston","Louisiana",0.0419536619527882,0.866448621087678,7.13772550137821,0.0437765584058114,7.84686502074095,7.49249520975726,"2020-07-18",7.42450617076751,0.0822431523353723,0.00462250942275022
22065,"2020-07-11","Madison","Louisiana",0.0136465817998287,-267.619873947119,5.9856619888499,0.0134519014582375,-273.931544181866,6.09279049966182,"2020-07-18",6.10702288774225,0.0147284677799607,0.000202560870472037
22067,"2020-07-11","Morehouse","Louisiana",0.0115884050380167,-307.797463415434,5.54849893723305,0.0104996569621789,-357.186500475212,5.62977432274089,"2020-07-18",5.71042701737487,0.0262207031384148,0.00650485715172193
