"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
27001,"2020-07-11","Aitkin","Minnesota",0.0121777490041605,-50.7562252683185,2.70049165142766,0.0155305246407457,-3.42254226313431,2.83311778764509,"2020-07-18",2.84158159372673,0.0199063718179554,7.16360133876512e-05
27003,"2020-07-11","Anoka","Minnesota",0.011166350080269,-520.958756133961,7.72665371209932,0.00973146380800149,-622.618169762757,7.80091820688266,"2020-07-18",7.82843635915759,0.0103597072421882,0.000757248704625901
27005,"2020-07-11","Becker","Minnesota",0.00663668291945603,-437.338302386577,4.03734842069987,0.00711461358515766,-396.640561082507,4.09546015604539,"2020-07-18",4.26468992796934,0.0516841609275545,0.0286387157054334
27007,"2020-07-11","Beltrami","Minnesota",0.0399084673813702,82.3372586078972,3.53839412278959,0.0426163708364057,87.8121589931663,3.88609484811843,"2020-07-18",4.21318523943662,0.45534305110574,0.106988124092688
27009,"2020-07-11","Benton","Minnesota",0.00934169940739218,-406.943468570478,5.39897415785102,0.00922956420169109,-413.934857362777,5.4725303334503,"2020-07-18",5.52031740716017,0.0147241841529027,0.00228360441375287
27011,"2020-07-11","Big Stone","Minnesota",0.0202516464326013,35.7270998528626,2.73949894569241,0.022492164537135,48.9530428731513,2.92503755725083,"2020-07-18",2.89037175789616,0.0227626054622695,0.00120171764489759
27013,"2020-07-11","Blue Earth","Minnesota",0.0292166816491573,-41.657515781803,6.21314693889758,0.0290961952583917,-42.5277711655038,6.4456152849878,"2020-07-18",6.42971947803914,0.046903664710221,0.000252676678549219
27015,"2020-07-11","Brown","Minnesota",0.0311952956181308,57.3300483694019,3.54596774401514,0.0322460406020033,60.9525479647768,3.80656293129085,"2020-07-18",3.94573406277046,0.159813109611178,0.0193686038373147
27017,"2020-07-11","Carlton","Minnesota",0.00909505864673289,-320.658471639416,4.47166263372355,0.00933768591995216,-307.948343331033,4.54697068926622,"2020-07-18",4.56583518058941,0.0088684685832037,0.000355869032883042
27019,"2020-07-11","Carver","Minnesota",0.0245968557633753,-72.7265586569432,5.99490700898867,0.0245387620444852,-73.2976448373321,6.19107187104732,"2020-07-18",6.25602420213891,0.0681821885586585,0.00421880531423067
27021,"2020-07-11","Cass","Minnesota",0.0418572351004863,103.378982221694,2.83042883888071,0.0529471590642764,117.018753426969,3.28173092130439,"2020-07-18",3.16003532484527,0.108640435589907,0.0148098181975419
27023,"2020-07-11","Chippewa","Minnesota",0.00600385914015413,-556.75316799011,4.36932750941354,0.00573367233262154,-590.929142260086,4.41452142105569,"2020-07-18",4.41539232851768,0.00212196755909693,7.58479807360558e-07
27025,"2020-07-11","Chisago","Minnesota",0.0108620402958181,-253.999063459927,4.61635695298667,0.0107171655117503,-259.710411345754,4.7017320901205,"2020-07-18",4.73870157861261,0.0149682074195519,0.00136674307936812
27027,"2020-07-11","Clay","Minnesota",0.00555741525249166,-977.931175651073,6.38508763962645,0.00137392396860454,-4468.72465513598,6.38562030316558,"2020-07-18",6.45204895443723,0.00448381768118722,0.0044127657097705
27029,"2020-07-11","Clearwater","Minnesota",0.040731133788744,118.230121191619,2.14937699375997,0.0523309822044875,129.373099012605,2.59702447243523,"2020-07-18",2.64920970107927,0.249832735306145,0.00272329808863123
27031,"2020-07-11","Cook","Minnesota",0,165,0,0.0111616175992071,168.5,0.117196984791675,"2020-07-18",0,0,0.0137351332442601
27033,"2020-07-11","Cottonwood","Minnesota",0.00427464484428482,-979.325829633045,4.91723437688855,-0.000869563710632077,5811.0397067356,4.8974173458162,"2020-07-18",4.96882074366325,0.00266115323701386,0.00509844522410393
27035,"2020-07-11","Crow Wing","Minnesota",0.00698602365149462,-498.851062462035,4.67959536533858,0.00735319521068251,-465.527816837615,4.73933885592201,"2020-07-18",4.78749174278205,0.0116416282654233,0.00231870051295569
27037,"2020-07-11","Dakota","Minnesota",0.0159877536575217,-316.586964184635,7.79542027000282,0.014356074481743,-371.720858823339,7.90618966791732,"2020-07-18",7.95467319033342,0.025361492633826,0.00235065194587331
27039,"2020-07-11","Dodge","Minnesota",0.0161056581845344,-107.975942393958,4.49309116990546,0.0184092300402789,-73.3801337536374,4.64612393986706,"2020-07-18",4.64713438508712,0.0237293121435023,1.02099954274726e-06
27041,"2020-07-11","Douglas","Minnesota",0.0133039328000152,-143.311569317157,4.18157999646277,0.0148121039135483,-111.562858637413,4.30384725555499,"2020-07-18",4.43251603459627,0.0629688952341375,0.0165556546999741
27043,"2020-07-11","Faribault","Minnesota",0.0155622801524668,-90.2221808115768,4.06521275982809,0.0172899789625239,-64.3694018757309,4.20785183855342,"2020-07-18",4.17877324183889,0.0128959830745266,0.000845564786886194
27045,"2020-07-11","Fillmore","Minnesota",0.0207205645289738,6.64322240188234,3.40556521599599,0.0227658722684446,21.1845901124489,3.59280546349222,"2020-07-18",3.67086094861126,0.070381825743873,0.00609265875716792
